customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
86,122,6,393982.1335,4,5,5,14,Champions
87,487,4,162641.226,2,4,3,9,Loyal Customers
88,1166,1,30495.405,1,1,1,3,Lost Customers
90,840,1,8967.02,1,1,1,3,Lost Customers
91,327,1,20257.173,3,1,1,5,Needs Attention
92,344,2,165049.2915,3,2,3,8,Needs Attention
93,894,1,64350.376000000004,1,1,2,4,Lost Customers
94,500,2,46458.472,2,2,1,5,Lost Customers
97,497,2,231943.5175,2,2,4,8,Lost Customers
99,196,4,158196.595,4,4,3,11,Loyal Customers
100,396,1,32556.053499999998,3,1,1,5,Needs Attention
102,95,1,50462.343,4,1,2,7,New Customers
103,381,1,19412.68,3,1,1,5,Needs Attention
104,35,18,1148956.213,5,5,5,15,Champions
105,130,19,1161017.5095,4,5,5,14,Champions
106,1238,1,18184.26,1,1,1,3,Lost Customers
107,872,1,19717.4325,1,1,1,3,Lost Customers
108,236,2,142832.03600000002,3,2,3,8,Needs Attention
109,69,1,88081.29999999999,5,1,2,8,New Customers
111,435,4,285035.475,2,4,4,10,Loyal Customers
113,523,3,257683.7245,2,3,4,9,At Risk
114,587,1,9997.23,2,1,1,4,Lost Customers
116,82,1,71954.56,5,1,2,8,New Customers
117,2,13,799648.581,5,5,5,15,Champions
118,558,3,261628.224,2,3,4,9,At Risk
119,1039,3,236887.4215,1,3,4,8,At Risk
120,788,1,60383.37,1,1,2,4,Lost Customers
121,430,1,66937.89,2,1,2,5,Lost Customers
123,280,3,170474.63,3,3,3,9,Potential Loyalists
124,67,2,100682.43000000001,5,2,2,9,New Customers
125,253,6,243809.80599999998,3,5,4,12,Loyal Customers
127,204,8,487515.3075,4,5,5,14,Champions
129,38,17,993032.573,5,5,5,15,Champions
133,401,2,56080.191999999995,3,2,2,7,Needs Attention
134,327,2,248604.6815,3,2,4,9,Needs Attention
135,27,1,174772.77300000002,5,1,3,9,New Customers
136,156,1,233204.82,4,1,4,9,New Customers
137,799,1,35180.9475,1,1,1,3,Lost Customers
138,587,3,227401.47449999998,2,3,4,9,At Risk
139,100,7,426666.90650000004,4,5,5,14,Champions
141,242,2,78225.606,3,2,2,7,Needs Attention
142,590,1,48172.439999999995,2,1,1,4,Lost Customers
145,747,2,107039.86249999999,2,2,3,7,Lost Customers
147,326,1,95324.976,3,1,2,6,Needs Attention
149,44,3,178048.2925,5,3,4,12,Potential Loyalists
150,527,1,226581.251,2,1,4,7,Lost Customers
151,41,12,626869.6849999999,5,5,5,15,Champions
152,267,2,59064.961500000005,3,2,2,7,Needs Attention
154,141,7,309811.402,4,5,4,13,Champions
155,300,5,304179.888,3,4,4,11,Loyal Customers
156,1160,1,69996.34400000001,1,1,2,4,Lost Customers
157,388,6,274056.725,3,5,4,12,Loyal Customers
158,98,14,627730.411,4,5,5,14,Champions
159,864,1,210663.52,1,1,4,6,Lost Customers
160,92,9,559104.9505,4,5,5,14,Champions
162,152,2,126144.49,4,2,3,9,New Customers
163,233,2,152384.24800000002,3,2,3,8,Needs Attention
164,428,1,103496.48999999999,3,1,3,7,Needs Attention
165,40,3,116701.3575,5,3,3,11,Potential Loyalists
166,29,25,1331397.7445,5,5,5,15,Champions
167,24,2,115879.16750000001,5,2,3,10,New Customers
169,478,2,128219.559,2,2,3,7,Lost Customers
170,16,3,84405.14249999999,5,3,2,10,Potential Loyalists
171,679,1,131766.881,2,1,3,6,Lost Customers
172,184,1,19840.606499999998,4,1,1,6,New Customers
173,712,4,219107.69199999998,2,4,4,10,Loyal Customers
174,217,3,227945.03999999998,4,3,4,11,Potential Loyalists
175,530,3,152429.13,2,3,3,8,At Risk
176,1178,1,95827.86799999999,1,1,2,4,Lost Customers
177,136,13,687725.147,4,5,5,14,Champions
178,74,2,126609.75499999999,5,2,3,10,New Customers
181,731,1,53660.48000000001,2,1,2,5,Lost Customers
183,35,1,67309.99,5,1,2,8,New Customers
184,1292,1,32075.05,1,1,1,3,Lost Customers
186,428,2,115149.91049999998,3,2,3,8,Needs Attention
188,189,3,145390.4035,4,3,3,10,Potential Loyalists
189,1323,1,81141.26000000001,1,1,2,4,Lost Customers
191,308,1,50769.74,3,1,2,6,Needs Attention
192,91,6,269105.7485,4,5,4,13,Champions
193,113,6,365183.94049999997,4,5,5,14,Champions
194,720,1,46093.79,2,1,1,4,Lost Customers
195,212,3,240977.44999999998,4,3,4,11,Potential Loyalists
196,297,4,444340.7265,3,4,5,12,Loyal Customers
197,19,12,589441.5055,5,5,5,15,Champions
198,857,2,51770.009999999995,1,2,2,5,Lost Customers
199,514,3,193615.575,2,3,4,9,At Risk
202,28,7,500019.9495,5,5,5,15,Champions
203,597,1,18184.26,2,1,1,4,Lost Customers
206,12,2,38480.32,5,2,1,8,New Customers
207,460,2,100059.41500000001,2,2,2,6,Lost Customers
209,80,7,370273.001,5,5,5,15,Champions
210,48,2,89969.699,5,2,2,9,New Customers
212,54,7,211168.1835,5,5,4,14,Champions
213,1323,1,27199.63,1,1,1,3,Lost Customers
215,614,2,52760.3175,2,2,2,6,Lost Customers
216,351,6,213214.116,3,5,4,12,Loyal Customers
218,23,12,725184.1965,5,5,5,15,Champions
219,697,1,52036.04,2,1,2,5,Lost Customers
220,796,1,5316.523,1,1,1,3,Lost Customers
221,1174,2,52694.75200000001,1,2,2,5,Lost Customers
224,206,2,151473.20500000002,4,2,3,9,New Customers
225,9,17,776758.433,5,5,5,15,Champions
226,183,2,100691.42250000002,4,2,2,8,New Customers
227,1204,1,69271.08,1,1,2,4,Lost Customers
230,214,2,163736.53,4,2,3,9,New Customers
232,109,2,94519.8695,4,2,2,8,New Customers
233,442,2,127241.487,2,2,3,7,Lost Customers
234,461,3,240938.5195,2,3,4,9,At Risk
235,494,4,221621.03,2,4,4,10,Loyal Customers
236,61,4,211101.354,5,4,4,13,Champions
239,567,2,78668.998,2,2,2,6,Lost Customers
240,1209,1,93791.43000000001,1,1,2,4,Lost Customers
241,692,1,18029.62,2,1,1,4,Lost Customers
242,45,3,130599.36800000002,5,3,3,11,Potential Loyalists
243,415,1,181399.41,3,1,4,8,Needs Attention
244,71,1,5596.34,5,1,1,7,New Customers
248,20,44,2571681.1975,5,5,5,15,Champions
250,145,2,135462.119,4,2,3,9,New Customers
252,129,9,496813.16,4,5,5,14,Champions
253,1052,1,39438.775,1,1,1,3,Lost Customers
254,219,2,150760.93,3,2,3,8,Needs Attention
255,334,4,253768.495,3,4,4,11,Loyal Customers
257,487,1,46588.62,2,1,1,4,Lost Customers
259,235,2,27555.282,3,2,1,6,Needs Attention
261,287,4,223038.975,3,4,4,11,Loyal Customers
266,844,2,185287.60700000002,1,2,4,7,Lost Customers
267,26,7,484736.2645,5,5,5,15,Champions
269,399,3,98814.716,3,3,2,8,Potential Loyalists
272,222,1,42149.280000000006,3,1,1,5,Needs Attention
273,1291,1,51071.72,1,1,2,4,Lost Customers
275,83,1,145438.5875,5,1,3,9,New Customers
276,125,4,276465.773,4,4,4,12,Champions
277,822,1,71613.5,1,1,2,4,Lost Customers
278,883,1,39241.7,1,1,1,3,Lost Customers
281,437,3,148361.4675,2,3,3,8,At Risk
283,1255,1,123504.03,1,1,3,5,Lost Customers
284,325,2,86069.182,3,2,2,7,Needs Attention
285,464,7,355170.875,2,5,5,12,Loyal Customers
288,36,6,354392.0775,5,5,5,15,Champions
289,516,1,27569.28,2,1,1,4,Lost Customers
290,117,1,85270.54000000001,4,1,2,7,New Customers
291,1012,1,74646.465,1,1,2,4,Lost Customers
293,278,1,39738.99399999999,3,1,1,5,Needs Attention
294,412,1,46587.95599999999,3,1,1,5,Needs Attention
296,127,3,78511.06599999999,4,3,2,9,Potential Loyalists
297,66,3,57970.844000000005,5,3,2,10,Potential Loyalists
298,803,3,124777.011,1,3,3,7,At Risk
301,56,5,326074.37200000003,5,4,5,14,Champions
302,222,1,41974.21,3,1,1,5,Needs Attention
303,723,2,145420.6215,2,2,3,7,Lost Customers
305,487,2,31844.108,2,2,1,5,Lost Customers
310,38,3,234951.3895,5,3,4,12,Potential Loyalists
311,983,1,28402.801,1,1,1,3,Lost Customers
312,1164,1,67872.11,1,1,2,4,Lost Customers
313,1315,1,3408.09,1,1,1,3,Lost Customers
315,111,10,679046.032,4,5,5,14,Champions
316,56,17,1013930.694,5,5,5,15,Champions
318,92,1,44917.1685,4,1,1,6,New Customers
319,133,2,45437.516,4,2,1,7,New Customers
320,349,8,575785.492,3,5,5,13,Loyal Customers
321,244,1,59933.058000000005,3,1,2,6,Needs Attention
322,61,20,1033106.13,5,5,5,15,Champions
323,64,3,302619.9605,5,3,4,12,Potential Loyalists
324,515,1,8629.686,2,1,1,4,Lost Customers
326,525,1,34267.82,2,1,1,4,Lost Customers
327,522,4,280644.305,2,4,4,10,Loyal Customers
329,5,6,207032.1945,5,5,4,14,Champions
330,639,1,101317.89,2,1,2,5,Lost Customers
331,351,5,319192.6425,3,4,5,12,Loyal Customers
333,6,4,245169.89500000002,5,4,4,13,Champions
334,349,2,100267.68000000001,3,2,2,7,Needs Attention
336,705,1,128302.07,2,1,3,6,Lost Customers
337,425,2,193453.51,3,2,4,9,Needs Attention
338,1277,2,225091.03,1,2,4,7,Lost Customers
339,171,4,307496.496,4,4,4,12,Champions
340,1317,2,111402.2845,1,2,3,6,Lost Customers
341,961,1,2295.33,1,1,1,3,Lost Customers
342,1139,1,13999.491,1,1,1,3,Lost Customers
343,483,1,127038.275,2,1,3,6,Lost Customers
346,130,17,1196660.0645,4,5,5,14,Champions
347,594,3,99430.32,2,3,2,7,At Risk
348,916,1,109560.59999999999,1,1,3,5,Lost Customers
349,959,2,194255.082,1,2,4,7,Lost Customers
350,69,6,271477.58,5,5,4,14,Champions
352,199,1,91866.8865,4,1,2,7,New Customers
354,750,3,369182.042,2,3,5,10,At Risk
355,330,15,934160.2215,3,5,5,13,Loyal Customers
356,175,6,257827.7575,4,5,4,13,Champions
358,47,1,62449.704000000005,5,1,2,8,New Customers
359,330,3,173843.7425,3,3,3,9,Potential Loyalists
360,813,2,113955.138,1,2,3,6,Lost Customers
361,820,1,82909.089,1,1,2,4,Lost Customers
362,125,3,143606.37449999998,4,3,3,10,Potential Loyalists
364,484,2,69145.81,2,2,2,6,Lost Customers
365,261,2,93376.1465,3,2,2,7,Needs Attention
367,345,2,150925.1525,3,2,3,8,Needs Attention
371,194,1,22319.72,4,1,1,6,New Customers
372,889,1,175712.11,1,1,3,5,Lost Customers
373,1224,1,91775.9325,1,1,2,4,Lost Customers
374,764,1,149581.66999999998,1,1,3,5,Lost Customers
377,193,1,62708.094000000005,4,1,2,7,New Customers
378,439,1,41224.185,2,1,1,4,Lost Customers
379,220,2,243012.72999999998,3,2,4,9,Needs Attention
381,43,7,588702.9155,5,5,5,15,Champions
382,478,3,166832.2485,2,3,3,8,At Risk
383,614,3,332675.871,2,3,5,10,At Risk
384,1213,1,126136.278,1,1,3,5,Lost Customers
385,154,1,68654.68,4,1,2,7,New Customers
386,1336,1,46574.145000000004,1,1,1,3,Lost Customers
387,423,1,85620.96800000001,3,1,2,6,Needs Attention
388,1080,1,133024.01,1,1,3,5,Lost Customers
389,760,1,49088.75999999999,2,1,1,4,Lost Customers
390,45,5,237447.824,5,4,4,13,Champions
391,1147,1,118168.506,1,1,3,5,Lost Customers
392,266,7,383727.2845,3,5,5,13,Loyal Customers
393,148,6,369746.85599999997,4,5,5,14,Champions
394,92,3,101444.8195,4,3,2,9,Potential Loyalists
395,136,5,316914.776,4,4,5,13,Champions
396,280,1,62741.04,3,1,2,6,Needs Attention
397,421,2,68701.5285,3,2,2,7,Needs Attention
398,1066,1,45224.01,1,1,1,3,Lost Customers
399,445,5,503462.3965,2,4,5,11,Loyal Customers
400,683,1,102172.956,2,1,2,5,Lost Customers
401,78,8,664372.5775,5,5,5,15,Champions
404,480,4,289382.709,2,4,4,10,Loyal Customers
405,286,6,269221.349,3,5,4,12,Loyal Customers
406,102,2,191152.1925,4,2,4,10,New Customers
407,1181,1,69889.01000000001,1,1,2,4,Lost Customers
409,829,6,363102.2495,1,5,5,11,Loyal Customers
410,101,3,321311.744,4,3,5,12,Potential Loyalists
411,46,6,217114.585,5,5,4,14,Champions
412,1277,1,114228.14,1,1,3,5,Lost Customers
413,328,2,172380.6975,3,2,3,8,Needs Attention
414,434,2,65811.768,2,2,2,6,Lost Customers
415,529,7,448280.316,2,5,5,12,Loyal Customers
417,429,4,232567.614,2,4,4,10,Loyal Customers
418,255,3,186019.912,3,3,4,10,Potential Loyalists
419,416,1,28243.1475,3,1,1,5,Needs Attention
420,441,1,85925.619,2,1,2,5,Lost Customers
421,1055,1,10871.5815,1,1,1,3,Lost Customers
422,465,5,244647.64549999998,2,4,4,10,Loyal Customers
425,758,3,172314.5515,2,3,3,8,At Risk
426,56,1,47129.633,5,1,1,7,New Customers
428,203,3,217603.28199999998,4,3,4,11,Potential Loyalists
429,714,1,55140.08,2,1,2,5,Lost Customers
430,76,5,253431.01,5,4,4,13,Champions
431,164,2,242484.946,4,2,4,10,New Customers
432,174,4,171660.4315,4,4,3,11,Loyal Customers
433,29,2,145799.327,5,2,3,10,New Customers
435,1145,1,27990.06,1,1,1,3,Lost Customers
436,308,3,216535.9485,3,3,4,10,Potential Loyalists
438,278,4,368345.122,3,4,5,12,Loyal Customers
439,175,2,127099.1175,4,2,3,9,New Customers
440,771,1,42989.532,1,1,1,3,Lost Customers
441,807,1,96689.728,1,1,2,4,Lost Customers
443,1268,1,154688.994,1,1,3,5,Lost Customers
444,214,2,146381.03199999998,4,2,3,9,New Customers
447,182,2,47254.191,4,2,1,7,New Customers
448,98,4,168395.83,4,4,3,11,Loyal Customers
449,76,3,197830.33,5,3,4,12,Potential Loyalists
450,331,1,67783.554,3,1,2,6,Needs Attention
451,34,18,1056899.945,5,5,5,15,Champions
452,149,3,281942.738,4,3,4,11,Potential Loyalists
453,165,3,284546.6775,4,3,4,11,Potential Loyalists
455,656,1,44658.92999999999,2,1,1,4,Lost Customers
457,132,11,456823.369,4,5,5,14,Champions
458,1133,1,41716.742,1,1,1,3,Lost Customers
459,328,3,232486.2965,3,3,4,10,Potential Loyalists
460,134,2,192508.68349999998,4,2,4,10,New Customers
462,386,1,66994.848,3,1,2,6,Needs Attention
463,612,6,372909.9375,2,5,5,12,Loyal Customers
464,15,11,841348.735,5,5,5,15,Champions
465,1312,1,66449.052,1,1,2,4,Lost Customers
466,718,5,445299.3785,2,4,5,11,Loyal Customers
468,470,2,198008.68399999998,2,2,4,8,Lost Customers
469,812,1,36592.740000000005,1,1,1,3,Lost Customers
472,422,1,16742.016,3,1,1,5,Needs Attention
474,218,1,29322.5,3,1,1,5,Needs Attention
475,323,2,159832.063,3,2,3,8,Needs Attention
476,90,12,276249.7765,4,5,4,13,Champions
477,176,1,86202.69,4,1,2,7,New Customers
480,855,1,129070.26,1,1,3,5,Lost Customers
481,659,2,115254.488,2,2,3,7,Lost Customers
482,1292,1,16965.612,1,1,1,3,Lost Customers
483,27,3,262397.6545,5,3,4,12,Potential Loyalists
484,101,1,107817.12,4,1,3,8,New Customers
485,510,2,129697.07999999999,2,2,3,7,Lost Customers
487,517,1,82109.47,2,1,2,5,Lost Customers
492,166,20,1327467.4275,4,5,5,14,Champions
497,385,1,122750.658,3,1,3,7,Needs Attention
498,522,7,592040.968,2,5,5,12,Loyal Customers
499,132,13,648358.8345,4,5,5,14,Champions
501,854,1,56464.90299999999,1,1,2,4,Lost Customers
504,1252,1,26077.506999999998,1,1,1,3,Lost Customers
505,80,1,4588.33,5,1,1,7,New Customers
509,390,1,24026.235,3,1,1,5,Needs Attention
510,107,3,114598.267,4,3,3,10,Potential Loyalists
511,71,4,198960.523,5,4,4,13,Champions
512,86,6,475907.65900000004,5,5,5,15,Champions
513,367,1,35064.3575,3,1,1,5,Needs Attention
514,745,2,168260.805,2,2,3,7,Lost Customers
515,1071,2,114095.5815,1,2,3,6,Lost Customers
516,904,1,100912.40800000001,1,1,2,4,Lost Customers
517,58,2,100824.43900000001,5,2,2,9,New Customers
518,14,2,105867.45999999999,5,2,3,10,New Customers
519,29,6,360824.5965,5,5,5,15,Champions
521,1,3,282843.859,5,3,4,12,Potential Loyalists
523,345,8,532244.627,3,5,5,13,Loyal Customers
525,48,14,806155.7390000001,5,5,5,15,Champions
526,134,9,647612.8165000001,4,5,5,14,Champions
528,943,2,56637.023,1,2,2,5,Lost Customers
529,105,43,2527380.768,4,5,5,14,Champions
533,279,1,27896.436499999996,3,1,1,5,Needs Attention
536,282,1,34300.9,3,1,1,5,Needs Attention
538,251,4,306388.32800000004,3,4,4,11,Loyal Customers
539,60,4,63359.161,5,4,2,11,Potential Loyalists
540,170,5,375853.72750000004,4,4,5,13,Champions
541,1177,1,45024.84,1,1,1,3,Lost Customers
542,1141,1,45726.975,1,1,1,3,Lost Customers
543,846,2,151426.024,1,2,3,6,Lost Customers
544,133,12,613658.7455000001,4,5,5,14,Champions
546,713,2,115708.281,2,2,3,7,Lost Customers
547,121,9,507974.3245,4,5,5,14,Champions
548,349,8,641132.3685,3,5,5,13,Loyal Customers
549,233,4,291663.201,3,4,4,11,Loyal Customers
550,177,4,273758.98,4,4,4,12,Champions
552,32,5,369835.3745,5,4,5,14,Champions
554,27,3,206472.601,5,3,4,12,Potential Loyalists
555,192,2,107629.651,4,2,3,9,New Customers
557,104,3,299506.2875,4,3,4,11,Potential Loyalists
558,289,8,322098.42850000004,3,5,5,13,Loyal Customers
559,992,1,48038.992,1,1,1,3,Lost Customers
560,56,19,988458.9495,5,5,5,15,Champions
561,92,29,1561035.55,4,5,5,14,Champions
562,1019,1,3626.15,1,1,1,3,Lost Customers
563,86,2,111374.19,5,2,3,10,New Customers
565,463,3,103375.2845,2,3,3,8,At Risk
568,28,16,786119.278,5,5,5,15,Champions
569,781,1,43593.948000000004,1,1,1,3,Lost Customers
570,166,5,474172.86,4,4,5,13,Champions
571,919,1,67426.68699999999,1,1,2,4,Lost Customers
572,221,6,451932.994,3,5,5,13,Loyal Customers
573,7,3,119756.205,5,3,3,11,Potential Loyalists
575,1144,1,17034.896,1,1,1,3,Lost Customers
576,150,2,91906.04550000001,4,2,2,8,New Customers
577,422,1,75051.88,3,1,2,6,Needs Attention
578,158,4,218765.179,4,4,4,12,Champions
579,338,2,13744.948499999999,3,2,1,6,Needs Attention
580,520,2,100116.14,2,2,2,6,Lost Customers
581,313,13,852212.677,3,5,5,13,Loyal Customers
582,110,9,700161.939,4,5,5,14,Champions
584,223,6,183861.2585,3,5,4,12,Loyal Customers
585,870,2,96460.75300000001,1,2,2,5,Lost Customers
586,1160,1,48218.619999999995,1,1,1,3,Lost Customers
589,383,3,164718.09,3,3,3,9,Potential Loyalists
591,211,2,125197.5825,4,2,3,9,New Customers
592,70,3,206075.085,5,3,4,12,Potential Loyalists
593,170,4,262483.917,4,4,4,12,Champions
594,171,2,204271.505,4,2,4,10,New Customers
595,192,7,524538.095,4,5,5,14,Champions
597,300,2,136820.875,3,2,3,8,Needs Attention
599,73,4,238954.026,5,4,4,13,Champions
600,527,1,25743.385,2,1,1,4,Lost Customers
601,165,2,24955.182500000003,4,2,1,7,New Customers
602,405,6,238361.3625,3,5,4,12,Loyal Customers
603,187,2,94492.121,4,2,2,8,New Customers
604,60,7,463536.716,5,5,5,15,Champions
606,609,1,77275.17749999999,2,1,2,5,Lost Customers
607,167,4,236667.3495,4,4,4,12,Champions
608,57,3,241746.06699999998,5,3,4,12,Potential Loyalists
609,269,1,95509.008,3,1,2,6,Needs Attention
610,817,3,219971.9925,1,3,4,8,At Risk
611,1123,1,50333.24,1,1,2,4,Lost Customers
612,1135,1,5409.01,1,1,1,3,Lost Customers
613,355,1,8625.563,3,1,1,5,Needs Attention
615,1018,4,140055.66950000002,1,4,3,8,Loyal Customers
616,1200,1,7941.0960000000005,1,1,1,3,Lost Customers
618,140,1,136687.149,4,1,3,8,New Customers
620,783,1,4306.88,1,1,1,3,Lost Customers
622,443,3,74773.38799999999,2,3,2,7,At Risk
624,379,4,333609.48500000004,3,4,5,12,Loyal Customers
626,98,5,363744.5655,4,4,5,13,Champions
627,418,1,78931.5,3,1,2,6,Needs Attention
628,198,6,175340.03100000002,4,5,3,12,Loyal Customers
629,187,2,172194.2835,4,2,3,9,New Customers
631,211,10,562818.878,4,5,5,14,Champions
632,754,2,34177.9695,2,2,1,5,Lost Customers
633,140,2,111096.79449999999,4,2,3,9,New Customers
634,782,1,158591.12,1,1,3,5,Lost Customers
635,746,3,124396.73300000001,2,3,3,8,At Risk
636,149,1,74070.14400000001,4,1,2,7,New Customers
637,260,2,48456.825,3,2,1,6,Needs Attention
639,100,6,223985.853,4,5,4,13,Champions
641,503,1,76801.06,2,1,2,5,Lost Customers
642,1014,1,130538.274,1,1,3,5,Lost Customers
645,668,2,117741.048,2,2,3,7,Lost Customers
646,82,3,127580.87899999999,5,3,3,11,Potential Loyalists
647,264,12,1133815.388,3,5,5,13,Loyal Customers
648,395,1,25861.54,3,1,1,5,Needs Attention
649,105,2,135250.54200000002,4,2,3,9,New Customers
650,35,1,157165.48,5,1,3,9,New Customers
651,1,4,181966.58,5,4,4,13,Champions
652,517,1,2693.0465,2,1,1,4,Lost Customers
653,703,1,115480.0,2,1,3,6,Lost Customers
654,102,4,396707.04,4,4,5,13,Champions
655,154,5,222385.142,4,4,4,12,Champions
658,104,4,239617.2335,4,4,4,12,Champions
659,610,3,123612.172,2,3,3,8,At Risk
660,351,2,147729.88,3,2,3,8,Needs Attention
661,266,2,116170.23,3,2,3,8,Needs Attention
664,534,1,154182.90999999997,2,1,3,6,Lost Customers
665,55,3,251023.5455,5,3,4,12,Potential Loyalists
666,52,4,316925.3885,5,4,5,14,Champions
667,574,6,500417.9015,2,5,5,12,Loyal Customers
668,723,1,8974.42,2,1,1,4,Lost Customers
669,511,2,14916.876,2,2,1,5,Lost Customers
671,943,2,216899.64049999998,1,2,4,7,Lost Customers
674,464,5,529167.71,2,4,5,11,Loyal Customers
676,76,9,551074.9839999999,5,5,5,15,Champions
677,120,31,2175089.7895,4,5,5,14,Champions
680,48,7,257807.215,5,5,4,14,Champions
681,186,11,664580.1155,4,5,5,14,Champions
684,813,1,34890.03200000001,1,1,1,3,Lost Customers
685,34,33,2119918.856,5,5,5,15,Champions
688,509,6,309947.61549999996,2,5,4,11,Loyal Customers
690,318,2,118824.92850000001,3,2,3,8,Needs Attention
692,59,7,421567.0645,5,5,5,15,Champions
694,342,4,302140.9665,3,4,4,11,Loyal Customers
695,792,1,1199.392,1,1,1,3,Lost Customers
696,111,1,121780.49,4,1,3,8,New Customers
698,1147,1,123938.99250000001,1,1,3,5,Lost Customers
699,44,2,99813.46349999998,5,2,2,9,New Customers
700,755,3,156978.51299999998,2,3,3,8,At Risk
701,641,1,29815.2975,2,1,1,4,Lost Customers
702,237,1,28328.66,3,1,1,5,Needs Attention
703,722,2,190070.07,2,2,4,8,Lost Customers
704,870,2,131565.136,1,2,3,6,Lost Customers
705,203,8,537250.194,4,5,5,14,Champions
708,411,1,51145.96,3,1,2,6,Needs Attention
709,141,1,16239.52,4,1,1,6,New Customers
711,938,1,8406.914999999999,1,1,1,3,Lost Customers
713,74,3,152924.1415,5,3,3,11,Potential Loyalists
717,1109,2,36557.367,1,2,1,4,Lost Customers
718,113,2,149392.225,4,2,3,9,New Customers
721,108,4,91726.502,4,4,2,10,Potential Loyalists
723,494,1,9447.288,2,1,1,4,Lost Customers
724,358,4,211597.247,3,4,4,11,Loyal Customers
725,1113,1,14638.2555,1,1,1,3,Lost Customers
726,1162,1,15817.387499999999,1,1,1,3,Lost Customers
729,597,2,73806.2895,2,2,2,6,Lost Customers
730,555,1,88162.55249999999,2,1,2,5,Lost Customers
731,257,2,196981.98,3,2,4,9,Needs Attention
733,68,1,28001.583000000002,5,1,1,7,New Customers
734,552,1,183301.77,2,1,4,7,Lost Customers
735,178,14,674533.736,4,5,5,14,Champions
737,76,3,132855.90899999999,5,3,3,11,Potential Loyalists
740,664,2,242227.9465,2,2,4,8,Lost Customers
742,301,2,36247.91,3,2,1,6,Needs Attention
743,374,1,11914.380000000001,3,1,1,5,Needs Attention
744,54,3,293510.05,5,3,4,12,Potential Loyalists
746,53,2,49823.73,5,2,1,8,New Customers
747,559,1,73770.273,2,1,2,5,Lost Customers
